"Functional","Start","aveMAF","1000G_SNPs","1000G_SNPsDensity","Max_covariance","InteractionMIN","InteractionAVE","Genome_copy_number","GC_percentage","MFE","Accessibility","RNAcode_score","RNAalifold_score","Dfam_min_distance","Dfam_sum_distance","MeanPhyloP","MaxPhyloP","MeanPhastCons","MaxPhastCons","Fickett_score","Min_Cov_Eval","mammals_mean_gerp","mammals_max_gerp","gnomAD_SNP_count","gnomAD_SNP_density","gnomAD_avg_MAF","RPKM_tissue","MRD_tissue","RPKM_primary_cell","MRD_primary_cell"
"Yes",25077049,0.00244609,4,0.0425532,20.65,-8.05,-3.91577,6,36.1702,-11.6,14.14865,10.43,-10.45,16249,43227,0.352299,1.824,0.423743,1,0.32414,18.0775,-0.520491954,1.88,28,0.297872,0.000324095,259.826,5139,84.554,551
"Yes",67740669,0.0286043,4,0.030303,8.88,-11.08,-3.55357,2,46.9697,-44,44.96452,2.94,-42.88,35,134,0.480937,1.168,0.638091,1,0.40493,31.1606,-0.03649421488,2.37,27,0.204545,0.00458307,9.37583,200,82.9652,7719
"Yes",49280312,0.000838658,5,0.0485437,35.88,-6.63,-2.9275,1,42.7184,-33.2,34.06761,3.73,-6.2,697,7656,2.19555,5.474,0.693154,1,0.35078,2.42127,0.2905492958,2.84,28,0.271845,0.000237585,17482.8,8029,17495.2,8015
"Yes",35657750,0.00838154,38,0.141791,62.56,-11.88,-6.86485,2,61.0108,-103.8,108.7667,5.95,-32.86,14,832,2.68183,8.94,0.627507,1,0.42666,31.0802,-1.083748538,2.37,368,1.37313,0.0010099,56765.7,8046,99549.3,8058
"Yes",89561429,0.00039936,4,0.0555556,36.96,-10.51,-5.93536,1,47.2222,-7.7,10.10433,1.1,0,1156,2386,1.87698,7.286,0.613545,1,0.41568,99,-0.7618918919,2.06,21,0.291667,5.41648E-05,57301.4,8033,4066.76,8001
"Yes",50799028,0.00119808,5,0.0515464,38.74,-11.64,-4.22143,1,67.0103,-43.9,45.54003,3.77,-3.14,990,2742,0.896629,4.639,0.550136,1,0.40582,4.19941,-0.4971624239,2.3,37,0.381443,0.000175191,163.591,4012,36.8413,339
"Yes",33952763,0.00019968,1,0.010989,27.22,-6.7,-3.11714,1,37.3626,-24.1,26.15833,1.59,-3.43,13,28,1.71223,5.591,0.627643,1,0.41771,3.34761,0.4119084507,3.14,24,0.263736,2.99565E-05,346.08,7630,406.556,2235
"Yes",25065024,0.000249601,4,0.0408163,21.24,-5.79,-2.85385,9,40.8163,-21.7,23.58525,0.78,-10.06,14953,43223,0.568816,1.934,0.549418,1,0.36343,23.9872,-0.3278338028,1.92,30,0.306122,6.8966E-05,2384.15,8020,28164.8,8005
"Yes",28913661,0.00069888,2,0.0224719,53.4,-8.18,-3.00909,1,46.0674,-30,31.11381,2.28,-4.61,644,1544,2.819,6.576,0.86981,1,0.37494,16.6826,0.7203638298,2.26,17,0.191011,8.00706E-05,4901.81,8044,66.6667,461
"Yes",202291316,0.000765443,6,0.0535714,49.9,-9.06,-3.87667,1,33.9286,-24.7,26.58262,3.23,-8.37,93,191,2.20339,7.262,0.481214,1,0.39566,6.71699,-0.2269458025,2.28,29,0.258929,0.000220706,66.5333,1672,452.691,2623
"Yes",139276179,0.000199681,1,0.00694444,47.69,-6.24,-3.25192,1,52.7778,-64.8,66.84348,7.14,-36.59,20,184,1.83366,4.342,0.832786,1,0.37974,30.8326,1.516053846,3.98,18,0.125,1.43443E-05,28.2521,468,695.896,6324
"Yes",38851523,0.000249601,3,0.0222222,53.91,-10.9,-4.07958,1,53.3333,-54.2,56.32395,3.8,0,413,1173,1.31615,5.934,0.574291,1,0.3409,98.05,-0.9732945865,2.3,30,0.222222,5.793E-05,314.119,54,1154.95,3046
"Yes",86135869,0.113086,3,0.0218978,35.18,-12.31,-4.6125,1,54.0146,-55.2,58.08038,4.39,-35.54,155,1491,3.51858,6.994,0.810795,1,0.40248,23.8704,-0.02855384615,2.37,28,0.20438,0.0256342,4856.89,8022,128.578,4416
"Yes",16545938,0.0037304,22,0.309859,9.84,-8.07,-3.48952,23,59.1549,-28.3,29.28778,4.79,-29.66,677,2333,-0.148019,0.527,0.173267,0.313,0.4168,21.2901,1.273567164,4.06,138,1.94366,0.00124869,261497,1335,14086.2,1865
"Yes",120942599,"NA","NA","NA",6.91,-7.82,-4.70121,4,44.1718,-43.6,47.19399,14.55,-51.82,135,638,-0.122221,0.485,0.0134257,0.049,0.42832,65.7448,0.8431338843,1.78,67,0.411043,0.00380339,13.9723,412,168.692,3298
"Yes",124939965,0.000589538,20,0.277778,17.17,-9.12,-3.79556,34,59.7222,-29.8,30.82247,7.11,-28.86,140,388,0.934329,1.703,0.88335,1,0.31037,12.7609,0.7598840845,3.33,128,1.77778,0.000164251,1017.87,2462,4529.42,8005
"Yes",22856612,0.153075,4,0.0540541,40.73,-6.73,-4.043,1,41.8919,-20.8,22.13879,7.38,-8.4,38,718,1.92974,4.56,0.649119,1,0.44809,12.8228,0.2256275,2.46,18,0.243243,0.0379483,3510.82,8018,1361.84,8004
"Yes",12703596,0.0069888,2,0.0266667,38.81,-11.65,-4.99292,1,53.3333,-17.7,20.15141,5.07,0,203,572,0.90946,5.911,0.36734,1,0.33449,99.35,-0.2367064516,2.27,16,0.213333,0.00099535,40043.1,8037,60.2732,2299
"Yes",161540240,0.000279552,13,0.175676,43.38,-7.97,-2.78217,23,59.4595,-30.4,31.44464,6.45,-19.6,232,1159,1.4067,3.424,0.841819,1,0.29941,21,1.4133165,1.98,102,1.37838,8.77693E-05,105.354,426,14194.7,8019
"Yes",55183481,0.00598676,4,0.031746,41.63,-11.45,-5.02643,23,36.7188,-17.2,20.30948,7.75,-27.25,24,1711,1.89207,6.834,0.590108,1,0.35245,31.047,-1.061264486,2.3,31,0.246032,0.000855432,10.1364,21,746.247,136
"Yes",7186679,0.000199681,2,0.0190476,65.82,-8.98,-4.46903,1,40.9524,-24.8,26.65219,4.18,-3.49,71,4093,0.922671,5.226,0.445056,1,0.34178,3.4034,-0.341876,2.14,20,0.190476,1.2566E-05,8.80276,120,21.0076,288
"Yes",41948104,0.00193024,3,0.0168539,42.2,-15.55,-6.36909,1,53.9326,-63.2,67.3841,3.95,-0.59,1228,5596,0.110095,3.935,0.139071,1,0.39098,1.93513,-1.780733333,3.47,37,0.207865,0.000162787,8.04904,24,10.1826,249
"Yes",23396445,0.0144768,2,0.028169,10.02,-5.63,-2.8275,2,33.8028,-8.2,9.343493,1.78,-4.67,20,54,0.0993508,1.741,0.279952,0.933,0.43051,2.3377,-0.3319532258,2.08,26,0.366197,0.000361795,14.9677,49,3740.14,1736
"Yes",100951855,0.20072,3,0.0384615,29.79,-10.28,-4.56367,1,42.3077,-15.5,17.42079,4.56,0,843,4539,-0.401568,2.263,0.0338318,0.897,0.45596,94.2,-1.374112676,1.67,12,0.153846,0.083715,230.092,1160,60.6036,234
"Yes",40832655,0.000848642,4,0.05,50.78,-3.53,-2.19846,1,31.25,-18.5,20.28488,1.6,0,44,544,2.49256,7.978,0.569693,1,0.4592,92.15,-0.04686363636,3.23,35,0.4375,3.38946E-05,394.784,2257,4473.5,3512
"Yes",75787071,0.000199681,1,0.0128205,57.96,-6.13,-3.07909,3,34.6154,-14.5,16.54864,2.45,-7.4,80,614,2.52622,4.992,0.836799,1,0.42632,16.5724,0.67756,2.05,13,0.166667,2.41672E-05,7900.17,8029,227.495,5218
"Yes",69520044,0.00289537,2,0.015748,16.07,-4.78,-2.32682,2,42.1875,-40.2,41.93375,1.21,-6.95,183,2258,0.672808,2.558,0.647629,1,0.37167,11.0405,-0.3382780702,2.38,19,0.149606,0.000384005,5.43668,48,31.2917,395
"Yes",44721785,0.0120226,59,0.508621,24.09,-7.56,-3.19185,11,34.4828,-26,28.05498,3.54,0,126,504,-0.686308,1.741,0.000456389,0.008,0.44365,98.8,-0.595740957,1.13,245,2.11207,0.00376453,557.813,3659,1587.63,8009
"Yes",25170722,0.00079872,2,0.0243902,23.65,-8.52,-3.89714,37,40.2439,-16.9,17.51303,3.36,-1.84,1938,5008,-0.308869,1.586,0.00187877,0.045,0.4348,3.80732,-1.007575,1.78,22,0.268293,6.66105E-05,796.538,7355,0.911473,18
"Yes",9548826,"NA","NA","NA",36.01,-8.85,-3.4513,1,39.7727,-14.8,16.89466,3.5,-7.8,640,2801,2.32906,5.571,0.701991,1,0.47792,9.42393,0.07557894737,3.76,11,0.125,1.58577E-05,4339.6,8023,111.634,8015
"Yes",50802324,0.000266241,3,0.0309278,24.42,-12.78,-4.43714,2,64.9485,-47.6,48.75316,3.01,-9.38,3,85,1.48851,4.069,0.668854,1,0.39042,10.2016,-0.05183170732,2.3,27,0.278351,5.87059E-05,109876,8066,1029.35,8015
"Yes",149162782,0.0645539,14,0.0864198,7.28,-12.13,-5.64,5,46.9136,-43.8,46.41279,11.49,-21.96,404,853,-0.09702,0.719,0.0559158,0.383,0.39434,30.59,0.7747711538,2.03,135,0.833333,0.00878607,3.70976,28,42.6956,871
"Yes",20343070,0.0134642,27,0.0791789,48.15,-13.84,-6.60853,1,63.6364,-167,171.7545,5.64,-47.55,41,426,2.99272,8.902,0.669769,1,0.36232,43.6755,0.2264551587,2.54,315,0.923754,0.000981587,59601.2,8077,47643.4,8066
"Yes",16441225,0.192492,4,0.0547945,43.75,-7.39,-3.4715,2,39.726,-14.5,15.87556,0.63,-6.9,271,624,2.54937,5.337,0.756791,1,0.44555,3.45084,0.5965672,3.14,22,0.30137,0.0438905,6230.34,8027,796960,8037
"Yes",71398336,"NA","NA","NA",11.09,-7.67,-4.19074,1,38.0282,-14,15.29182,"NA",-4.56,107,456,-0.0458786,2.438,0.035244,0.665,0.38302,14.8156,-0.8943194118,1.96,14,0.197183,3.29109E-05,28.5056,137,40.4632,94
"Yes",205474142,0.00139776,5,0.0684932,12.54,-8.36,-3.65292,18,56.1644,-24.6,26.41039,2.19,-3.09,11,80,-0.0853493,0.976,0.00831628,0.066,0.34348,3.61666,-0.53994,0.558,22,0.30137,0.000361631,145.553,36,305.414,593
"Yes",28758363,0.0227817,9,0.125,20.07,-7.47,-3.98778,8,62.5,-33.8,34.72869,12.03,-25.01,186,678,0.803597,1.777,0.896643,1,0.28088,9.75306,-0.5223187324,1.9,47,0.652778,0.00485751,80.7089,469,622.474,7997
"Yes",65070537,9.98405E-05,1,0.00740741,29.34,-7.88,-3.0068,4,36.2963,-39.4,41.31026,1.82,-4.03,556,1362,0.764647,3.67,0.455709,1,0.42883,5.86826,"NA","NA",16,0.118519,1.04942E-05,9.01496,149,72.2927,1941
"Yes",26728052,"NA","NA","NA",17.9,-9.51,-3.55048,14,57.5342,-25.2,26.25814,6.25,-14.94,479,1055,0.0327075,1.577,0.109686,0.447,0.44944,13.8891,-0.5096952381,0.968,"NA","NA","NA",1.28186,35,247.327,512
"Yes",95210343,0.0157748,3,0.0285714,10.15,-8.92,-3.40462,1,41.9048,-20.7,23.00086,5.01,-21.3,3,14,-0.0393599,1.025,0.0134247,0.081,0.31387,34.2632,-0.5649069767,0.694,20,0.190476,0.0019183,8.82473,44,36.1861,33
"Yes",47755852,0.00379391,6,0.0545455,53.06,-11.31,-4.25227,1,70,-61.4,63.67053,4.34,-0.06,170,1794,0.412586,4.43,0.210951,1,0.34013,3,1.722331944,5.03,29,0.263636,0.000706859,23.0509,371,116.975,467
"Yes",57870344,0.102921,6,0.0821918,10.2,-10.55,-4.3275,15,53.4247,-23.3,24.59415,8.11,-68.73,30,688,0.193365,0.527,0.660189,0.989,0.41336,91.1317,"NA","NA",26,0.356164,0.0276023,3.01988,40,304.563,21
"Yes",26312595,0.000256731,7,0.0853659,34.45,-7.88,-3.80667,13,58.5366,-32.8,33.71597,5.11,-26.82,179,626,2.09628,3.288,0.878065,1,0.38089,9.6226,0.8398461538,1.94,81,0.987805,3.687E-05,279.105,46,6261.51,3872
"Yes",1965183,0.00153088,3,0.023622,37.88,-11.52,-4.839,1,72.4409,-65,66.37306,4.61,-18.11,956,2513,1.3701,5.384,0.624422,1,0.35372,13.8848,-0.3471649573,2.58,36,0.283465,0.00010157,220.128,4614,6.71287,59
"Yes",100993235,0.000399361,2,0.0266667,50.19,-8.27,-4.1645,1,50.6667,-14.9,16.74922,2.06,-0.67,745,1839,-0.632868,1.514,0.0047902,0.106,0.42773,4.48584,-1.724698571,1.91,11,0.146667,6.47542E-05,72.5351,356,13.2049,125
"Yes",28695931,0.127903,14,0.194444,33.45,-5.33,-2.797,6,56.9444,-26.8,27.68441,9.37,-10.35,651,1408,0.0639861,1.888,0.697187,1,0.29778,7.28125,-0.8275516418,1.89,134,1.86111,0.0144928,7.06736,133,173.669,7172
"Yes",8221547,0.000619009,9,0.125,46.95,-11.62,-4.47167,12,56.9444,-26.5,27.73313,2.81,-19.14,183,803,1.14772,3.453,0.796904,1,0.42843,19,1.457457143,2.03,104,1.44444,6.27748E-05,323.329,2821,1691.71,8018
"Yes",145459657,"NA","NA","NA",13.1,-9.42,-3.99941,28,54.1667,-27.3,28.08043,5.74,-73.92,469,1892,0.163329,0.652,0.757176,0.998,0.38048,96.534,"NA","NA",64,0.888889,0.000256898,446.236,1072,4423.24,8039
"Yes",31837075,"NA","NA","NA",28.18,-10.13,-3.45154,5,42.1875,-14.3,15.13245,6.94,-3.74,460,1143,1.91564,3.744,0.8065,1,0.4714,8.66664,0.3855333333,3.94,9,0.140625,2.17146E-05,16917.7,8036,5243.36,8023
"Yes",100966028,0.00091853,4,0.0555556,27.03,-6.35,-2.35625,6,47.2222,-21.1,22.21435,1.69,0,255,4478,-0.711494,1.455,0.00203595,0.039,0.37936,98.75,-1.628720588,2.01,12,0.166667,0.000559677,21944.4,8033,3056.36,8033
"Yes",233288675,0.000399362,6,0.0225564,46.02,-21.48,-6.34353,2,53.0075,-99.6,104.4027,3.89,0,260,714,0.857134,6.687,0.363483,1,0.39758,99.2,-1.11541583,2.34,50,0.18797,5.4845E-05,152.737,5460,66.9263,7350
"Yes",27255063,0.000931843,5,0.0694444,64.31,-7.46,-3.29529,1,36.1111,-14.5,15.90184,1.01,0,244,683,2.147,7.036,0.726178,1,0.40061,97.45,0.9538545455,2.65,24,0.333333,0.000745225,207393,8022,23475.3,8015
"Yes",60786231,0.000149761,2,0.028169,10.72,-8.16,-3.54957,1,52.1127,-20.3,21.18347,2.9,-23.55,36,155,0.188143,0.677,0.51755,0.814,0.41617,29.1868,-0.09612903226,0.411,11,0.15493,0.000158716,102.695,990,36.618,2264
"Yes",120945288,"NA","NA","NA",9.7,-9.27,-3.362,19,54.0541,-22.6,24.1106,9.43,-71.97,321,759,0.202078,0.56,0.263011,0.611,0.33653,99.6739,0.3182368657,2.56,31,0.418919,7.07235E-05,4.10643,11,57.6428,27
"Yes",57861165,0.00017472,4,0.0547945,8.62,-9.26,-3.99773,12,52.0548,-22.7,24.08808,3.64,-16.4,168,1352,0.141692,0.665,0.327695,0.767,0.418,17.8197,"NA","NA",17,0.232877,0.000269384,1.38411,18,282.421,1263
"Yes",32608336,0.188649,7,0.0526316,9.24,-9.97,-3.41385,2,49.6241,-42,44.6111,5.47,-29.67,48,127,0.0231351,1.356,0.0173423,0.383,0.46166,38.1024,-0.7719912821,2.1,37,0.278195,0.0480327,5.88792,32,34.7734,633
"Yes",89335072,0.000171156,6,0.0821918,11.17,-10.66,-3.153,22,60.274,-29.2,29.9307,3.65,-29.18,618,1326,1.77961,3.798,0.781986,1,0.38452,16.7437,2.0564,2.75,81,1.10959,2.05009E-05,11485,8011,2664.86,8013
"Yes",28607155,0.000319488,3,0.0416667,25.39,-10.28,-4.26462,42,63.8889,-30.5,31.9305,6.53,-28.97,612,1295,1.43645,2.355,0.954078,1,0.29605,20.886,0.4953684211,1.45,72,1,2.69547E-05,617.647,3048,759.251,8003
"Yes",28488992,0.000249601,4,0.0540541,28.13,-8.83,-3.44091,9,55.4054,-26.1,27.28331,3.92,-19.22,739,2504,1.20025,2.209,0.795072,1,0.39631,7.4186,1.659918605,2.67,54,0.72973,2.66209E-05,50.6792,47,3810.61,4782
"Yes",110198522,0.11643,10,0.136986,9.73,-10.93,-3.6937,7,53.4247,-24.6,25.06774,9.94,-86.87,20,457,-0.160604,0.347,0.0133445,0.038,0.38379,75.9048,-0.2674444444,0.376,56,0.767123,0.0254025,112.572,1751,16.4129,1689
"Yes",52690737,0.00306177,1,0.0107527,37.43,-5.49,-2.778,1,31.1828,-19.2,21.63502,1.45,0,25,145,1.19809,6.321,0.451407,1,0.43463,98.35,-0.12183125,3.48,13,0.139785,0.000461586,3641.84,8028,775271,8016
"Yes",100957165,9.98405E-05,1,0.0138889,22.98,-3.07,-1.96125,1,40.2778,-20.3,21.36689,2.11,-1.39,2628,6078,-1.43264,1.801,0.00482435,0.139,0.30445,3.63031,-2.255677419,0.885,18,0.25,0.000143823,416.633,362,60.2486,230
"Yes",33934296,0.00053248,2,0.0253165,27.54,-6.88,-3.7225,1,39.2405,-19.5,21.70112,1.79,-1.32,930,2049,1.84453,6.112,0.559042,1,0.4335,6.51735,-0.06421851852,3.14,14,0.177215,0.000121139,1479.59,8016,2197,8012
"Yes",3191988,0.0242228,23,0.319444,21.85,-9.57,-5.12808,22,59.7222,-30.2,31.55685,9.4,-12.81,5,377,0.0175311,1.56,0.555935,1,0.34386,17.0088,-0.133047619,0.906,120,1.66667,0.0064873,2250.25,8019,48875.1,8014
"Yes",20613789,0.0708866,14,0.191781,24.3,-10.62,-4.16714,4,58.9041,-31.5,31.95232,3.71,-26.67,318,1318,2.34916,3.376,0.897487,1,0.31673,8.1152,2.392,3.04,109,1.49315,0.00896039,50.4126,523,1507.86,8015
"Yes",25099497,0.00705538,5,0.0510204,20.53,-7.26,-3.39452,2,39.7959,-22.3,24.13955,0.6,0,340,2731,-0.0616,2.047,0.00808883,0.1,0.43427,99.45,-0.5344381895,1.29,27,0.27551,0.00169743,5189.02,8030,435.127,2176
"Yes",91126425,0.00359427,3,0.023622,10,-7.59,-3.15042,2,52.7559,-46.6,48.63137,2.25,-22.47,7,34,0.0550912,1.074,0.0184363,0.183,0.41211,26.6994,-0.5686016393,2.41,24,0.188976,0.000802729,20.5972,67,87.2732,7310
"Yes",38433861,0.129959,6,0.0434783,53.15,-7.71,-3.94913,2,53.6232,-48,50.24356,3.69,0,188,433,1.45779,6.755,0.611314,1,0.35015,98.6,0.06564925373,3.73,39,0.282609,0.00575054,447.427,8007,17760.4,8029
"Yes",52689239,0.0015404,7,0.0921053,33.7,-9.25,-3.51125,1,46.0526,-21.3,22.11114,5.31,-2.4,395,885,2.60935,7.291,0.688036,1,0.42505,5.16409,-0.0509462963,3.39,15,0.197368,0.00107985,22.5397,109,54.8411,207
"Yes",38429666,0.00059904,2,0.0144928,34.26,-11.55,-4.452,1,57.971,-48.4,51.17586,4.81,-2.8,183,415,1.6761,6.595,0.658193,1,0.46273,3.24305,-0.3138904762,2.41,29,0.210145,0.000109278,4.80518,102,16.686,1085
"Yes",28543113,0.00109824,4,0.0547945,25.7,-10.66,-4.35522,7,52.0548,-23.7,24.67205,1.93,-21.73,106,341,0.878421,2.477,0.784363,1,0.39328,7.73357,2.446666667,2.84,57,0.780822,2.39991E-05,541.434,1209,1807.12,8013
"Yes",8138880,0.000266241,3,0.0365854,26.29,-7.82,-4.12815,14,59.7561,-34,34.95006,6.22,-31.97,194,685,2.79513,3.791,0.897433,1,0.33666,9.72146,"NA","NA",54,0.658537,1.18856E-05,61.85,771,392.943,7649
"Yes",149646954,0.1669,6,0.0833333,19.53,-8.92,-4.8832,19,51.3889,-21.9,23.83263,5.96,-20.49,275,611,1.18447,2.525,0.818297,1,0.45396,12.3241,2.383188679,3.71,31,0.430556,0.03236,5.01904,23,27.1879,173
"Yes",83064203,0.00449281,2,0.0149254,42.49,-7.45,-2.95591,1,40.2985,-38.4,40.96894,6.82,-5.78,922,1914,1.63557,6.058,0.721564,1,0.37124,16,0.220517,2.41,22,0.164179,0.000376181,38.4098,732,620.358,5867
"Yes",47918428,"NA","NA","NA","NA",-7.45,-3.25375,14,63.9344,-57.9,62.13522,"NA",-179.8,95,265,"NA","NA","NA","NA",0.40719,"NA",-0.0731119403,0.182,71,0.581967,0.00132904,380.9,136,14.1439,6
"Yes",100990090,"NA","NA","NA",32.53,-11.37,-4.33269,1,42.8571,-10.6,13.0362,2.24,0,169,4888,-0.874895,2.687,0.00117353,0.017,0.37109,99.05,-1.293115942,1.71,12,0.171429,1.04707E-05,513.35,663,64.506,568
"Yes",59550986,0.000313784,7,0.0958904,21.3,-11.42,-5.48,4,54.7945,-24.5,26.21499,0.59,-20.38,236,522,1.32698,2.256,0.937716,1,0.39607,11.5624,0.8168,1.29,73,1,3.01408E-05,724.567,8014,14726.3,8013
"Yes",100983875,0.00825347,3,0.0416667,"NA",-7.56,-4.14417,7,45.8333,-17.2,19.28306,3.08,-16.59,1124,6696,-0.945932,2.205,0.039223,0.586,0.37042,"NA",-1.637519688,2.13,20,0.277778,0.00128147,9380.9,8019,1351.65,8020
"Yes",75943782,0.000279552,3,0.0223881,11.07,-14.96,-4.38056,1,45.5224,-39.3,40.91607,2.52,-28.44,75,172,0.475541,1.406,0.598741,1,0.37195,33.0808,-0.2624525439,2.13,22,0.164179,1.68294E-05,207.276,490,34.6264,1514
"Yes",55902722,0.00034944,2,0.0150376,"NA",-6.26,-3.09583,4,39.8496,-35.2,37.40224,4.27,-10.44,1,1263,0.308267,0.992,0.482073,1,0.34295,"NA",-0.7301705645,2.27,28,0.210526,0.000174192,4.7005,133,77.5489,3241
"Yes",26701482,0.00713527,12,0.164384,28.93,-6.54,-3.4481,26,57.5342,-26.7,27.99099,1.65,-11.25,323,1858,0.192052,1.713,0.464746,1,0.46452,12.6042,-0.2888087143,1.18,"NA","NA","NA",33.8781,196,8314.63,8010
"Yes",142257638,"NA","NA","NA",8.63,-8.46,-3.0975,1,50.7042,-26.8,27.26538,12.18,-78.14,19,1555,-0.0122771,1.501,0.0133335,0.037,0.43436,71.0584,-0.5698606557,0.853,14,0.197183,9.96786E-06,7.51723,101,709.189,3241
"Yes",26305489,0.0741359,11,0.130952,22.46,-10.2,-3.07632,9,59.5238,-30.9,32.26313,3.9,-17.25,353,1005,1.74058,2.845,0.824551,1,0.24333,8.66799,0.07552947368,1.85,131,1.55952,0.0169331,926.043,8000,3001.9,8006
"Yes",203729580,0.000266241,3,0.024,9.51,-8.96,-3.501,1,56.8,-53.1,54.50048,4.52,-48.09,49,1916,0.451616,1.537,0.474313,1,0.47833,33.1607,-0.8434493694,2.13,25,0.2,5.83948E-05,4354,8024,2397.5,8042
"Yes",100939555,"NA","NA","NA",39.6,-5.01,-2.87294,1,40,-15.9,18.37563,3.46,-2,893,2773,0.678508,3.776,0.496411,1,0.4726,1.79573,-0.2210382353,2.35,11,0.146667,1.39803E-05,19396.1,8042,2119.27,8031
"Yes",46762388,0.00259585,3,0.027027,45.6,-12.63,-4.35714,1,51.3514,-40.3,42.57528,4.34,-8.43,891,2224,2.50777,7.212,0.792528,1,0.47821,15.4768,1.079948718,2.7,21,0.189189,0.000294765,650.588,8011,1029.94,8008
"Yes",33704785,0.000599041,7,0.0518519,32.01,-8.51,-4.824,1,57.037,-51.1,53.31343,6.97,-4.02,50,2275,0.230243,3.555,0.134103,0.979,0.34721,12.3357,-0.6362755725,1.89,22,0.162963,9.99264E-05,25.2143,671,69.4239,5063
"Yes",27547751,0.00676061,14,0.194444,21.99,-8.69,-3.36524,27,51.3889,-24.7,25.83584,3.21,-17.52,420,1266,0.72024,2.324,0.815857,1,0.46214,17.8098,0.5486875,1.42,112,1.55556,0.000719447,3564.39,8017,3078.54,8005
"Yes",46089304,0.000199681,3,0.0410959,"NA",-8.43,-3.39238,5,57.5342,-27.6,28.80297,5.86,-45.42,6,1323,0.0269657,0.16,0.102577,0.165,0.39416,"NA",-0.0376,0.0748,24,0.328767,3.1219E-05,1153.14,266,5835.18,2411
"Yes",69160807,0.000765442,5,0.0378788,8.82,-12.8,-5.3228,1,63.6364,-50.9,53.64661,9.26,-33.36,37,103,-0.0156101,0.547,0.0390229,0.211,0.35954,36.2744,0.1086596491,2.06,47,0.356061,8.30491E-05,2.4418,28,1.3907,12
"Yes",146052080,0.00229264,26,0.158537,20.87,-15.47,-5.98065,1,50.6098,-43.2,48.17177,20.6,-42.27,399,1564,0.720676,1.667,0.900363,1,0.41606,32.6968,"NA","NA",151,0.920732,0.000546529,367.435,1059,311.054,8004
"Yes",44778389,0.000199681,1,0.0144928,38.77,-3.98,-2.91,2,40.5797,-17.1,18.43607,4.17,-4.31,23,781,2.38977,7.359,0.721243,1,0.35715,10.1161,0.2572666667,2.42,9,0.130435,2.01612E-05,1390.77,8018,32259.6,8034
"Yes",171366117,0.00224641,8,0.0592593,20.53,-8.37,-3.668,3,53.3333,-49.4,50.59622,6.41,-29.31,864,2022,1.34429,6.796,0.617224,1,0.4503,30.9287,-0.5723831148,2.01,31,0.22963,0.000342865,1.2725,10,20.6991,538
"Yes",38833721,0.01703,6,0.0833333,31.11,-10.23,-5.07857,29,58.3333,-25.7,26.6655,8.95,-12.92,186,525,1.6056,4.204,0.75633,1,0.4021,12.3614,1.117222449,2.08,31,0.430556,0.00233615,21.4994,9,1071.71,1455
"Yes",28726017,0.00406019,8,0.108108,9.76,-10.11,-2.88808,12,56.7568,-27,28.17021,2.78,-26.11,366,914,0.407174,1.584,0.767965,1,0.40214,19.8964,0.1869520833,1.05,59,0.797297,0.000459671,49.9174,56,3771.19,3102
"Yes",110224988,"NA","NA","NA",10.7,-8.66,-4.36,1,52.7778,-14.4,17.15573,3,-3.07,3,146,0.0499167,0.97,0.0148954,0.086,0.36393,8.75789,0.3001633333,2.25,5,0.0694444,4.58694E-05,14.8353,215,151.956,386
"Yes",17320745,0.0112487,2,0.0145985,11.8,-7.01,-2.38909,4,39.4161,-40.2,44.01115,1.66,-12.29,64,1007,-0.0444225,1.898,0.0210947,0.6,0.42056,24.5032,-0.6296656,2.02,29,0.211679,0.00145364,0.586166,15,4.58971,29
"Yes",19188015,0.0200201,40,0.184332,11.17,-11.85,-5.80424,42,49.7696,-83.2,86.1432,7.55,-86.07,284,575,-0.144922,0.773,0.226802,0.985,0.31224,98.8718,-0.5347327879,1.05,798,3.67742,0.00146798,28951.4,8067,142028,8067
"Yes",45104348,0.000199681,1,0.00746269,37.83,-7.09,-3.08062,2,52.2388,-46.1,47.88476,2.19,-4.22,1698,5813,0.505613,3.941,0.304164,1,0.41798,11.1356,-0.04011869159,2.86,29,0.216418,1.80499E-05,41.6622,669,87.4537,3331
"Yes",138558968,0.00209664,2,0.0273973,35.4,-8.63,-3.9728,1,41.0959,-15.2,17.43283,5.73,0,62,258,1.46655,5.516,0.655136,1,0.43671,98.1,0.060675,2.8,16,0.219178,0.000165851,325.645,5165,225.071,580
"Yes",151102056,"NA","NA","NA",22.61,-8.64,-4.39,1,29.3333,-6.8,8.57414,4.28,-4.27,256,1374,1.61143,4.381,0.697792,1,0.38989,4.0346,0.841578125,3.82,13,0.173333,1.6646E-05,749.724,156,1373.6,652
"Yes",78288984,0.000249601,3,0.0454545,38.12,-7.83,-4.49875,1,37.8788,-11,12.4464,6.07,0,309,1645,1.04352,4.087,0.612773,1,0.32491,93.85,-0.07021311475,3.09,8,0.121212,0.000109022,36.5029,33,42.3118,201
"Yes",51922139,0.00034944,6,0.0810811,6.17,-8.39,-3.84368,10,55.4054,-24.3,25.35067,12.51,-169.4,290,2078,-0.00446304,0.215,0.0627679,0.316,0.42963,0.432655,-0.04325294118,0.103,22,0.297297,0.000163028,2269.76,1064,3356.35,8001
